Salary,Position,Age,GP,GS,MP,FG,3P,2P,FT,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,VORP
16475454,PF,25,66,66,34.4,8.35,3.0,5.6,3.8750000000000004,8.4,1.9,0.6,0.6,1.9,2.1,23.099999999999998,22.1,0.64,0.446,0.348,6.3,20.7,13.6,8.6,0.9,1.4,8.8,26.6,4.5,1.9,8.2,2.1500000000000004
16372093,PF,33,65,65,28.1,4.2,1.7,2.5,1.0,4.0,1.8,0.6,0.3,0.9,2.1,11.2,10.5,0.534,0.479,0.135,1.8,13.9,7.9,8.9,1.1,1.0,7.6,17.6,0.4,1.6,2.0,0.0
15558035,SG,26,81,27,25.8,4.6,2.9,1.7,0.6,3.5,1.5,0.8,0.1,1.1,1.3,12.7,10.9,0.531,0.702,0.069,1.8,12.5,7.3,8.4,1.5,0.4,8.5,21.1,-0.2,1.6,1.4,0.0
15277778,SF,23,74,73,30.7,4.6,1.8,2.8,2.7,4.6,2.1,1.0,0.3,1.2,3.3,13.7,11.3,0.513,0.468,0.297,5.9,10.4,8.1,9.2,1.6,0.9,8.5,19.8,0.9,2.1,2.9,-0.6
15059712,SG,32,56,2,17.7,2.5,1.2,1.3,0.7,2.4,2.0,0.5,0.2,0.9,1.0,6.8,10.0,0.493,0.495,0.129,1.7,13.5,7.7,15.4,1.4,1.1,11.1,18.9,-0.4,0.8,0.4,-0.2
15000000,PG,26,80,22,24.3,3.9,1.5,2.4,1.0,2.5,5.2,1.0,0.1,0.9,0.4,10.3,16.0,0.546,0.459,0.141,1.5,9.4,5.5,28.8,2.0,0.3,8.9,17.7,3.4,2.3,5.7,1.7
14520730,PG,34,27,0,12.5,2.3,0.7,1.6,0.4,1.5,1.7,0.3,0.2,0.8,0.7,5.6,10.1,0.463,0.396,0.075,2.6,10.4,6.5,19.9,1.0,1.4,11.8,23.6,-0.3,0.3,0.0,-0.1
14508929,SG,24,75,75,29.4,5.6,2.7,2.9,1.3,3.3,2.9,1.1,0.3,1.3,2.4,15.2,15.2,0.617,0.589,0.151,2.2,10.8,6.5,14.1,1.7,1.0,9.5,19.9,3.3,1.7,4.9,1.7
14317459,C,27,67,17,25.9,5.9,1.6,4.3,3.2,7.3,1.8,0.4,1.1,1.8,2.5,16.6,20.6,0.624,0.363,0.365,5.8,27.4,16.4,11.7,0.9,3.7,11.9,26.4,2.7,2.1,4.8,1.6
14004703,SG,29,76,76,31.3,3.8,1.8,2.1,1.4,2.7,2.4,1.5,0.5,1.1,1.9,10.8,11.5,0.598,0.505,0.198,1.7,8.1,5.0,9.8,2.3,1.3,11.1,14.1,2.0,2.5,4.5,0.6
